id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
6634,Quake III: Team Arena,https://www.igdb.com/g/54a,7.296125508339437,Expansion,"[""Dec 18, 2000 ()""]","[""PC (Microsoft Windows)""]","[""Shooter""]","[""Action"", ""Science fiction""]","[""id Software"", ""Activision""]",
509,Rage,https://www.igdb.com/g/e5,7.296902251963945,Main Game,"[""Oct 27, 2011 (Japan [JP])"", ""Oct 03, 2011 (Worldwide [WW])"", ""Oct 07, 2011 (Europe [EU])"", ""Oct 04, 2011 (Asia [AS])"", ""Oct 04, 2011 (Asia [AS])"", ""Oct 06, 2011 (Japan [JP])"", ""Oct 06, 2011 (Australia [AU])"", ""Oct 04, 2011 (North America [NA])"", ""Oct 04, 2011 (North America [NA])"", ""Oct 07, 2011 (Europe [EU])"", ""May 23, 2012 (Europe [EU])"", ""Oct 06, 2011 (Australia [AU])"", ""Oct 04, 2011 (Asia [AS])"", ""Oct 06, 2011 (Australia [AU])"", ""Oct 06, 2011 (Japan [JP])"", ""Oct 07, 2011 (Europe [EU])"", ""Feb 02, 2012 (Worldwide [WW])""]","[""Mac"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""]","[""Racing"", ""Shooter""]","[""Action"", ""Open world"", ""Science fiction""]","[""Aspyr Media"", ""Bethesda Softworks"", ""id Software""]",
981,Rayman Origins,https://www.igdb.com/g/r9,8.311699574431367,Main Game,"[""Jul 19, 2012 (Japan [JP])"", ""Mar 30, 2012 (Europe [EU])"", ""Nov 25, 2011 (Europe [EU])"", ""Nov 25, 2011 (Europe [EU])"", ""Nov 24, 2011 (Australia [AU])"", ""Nov 24, 2011 (Australia [AU])"", ""Nov 25, 2011 (Europe [EU])"", ""Nov 15, 2011 (North America [NA])"", ""Mar 29, 2012 (North America [NA])"", ""Jun 14, 2012 (Australia [AU])"", ""Apr 12, 2012 (Japan [JP])"", ""Nov 06, 2012 (North America [NA])"", ""Dec 12, 2013 (Worldwide [WW])"", ""Nov 24, 2011 (Australia [AU])"", ""Nov 15, 2011 (North America [NA])"", ""Jun 08, 2012 (Europe [EU])"", ""Nov 15, 2011 (North America [NA])"", ""Mar 29, 2012 (Australia [AU])""]","[""Mac"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""Nintendo 3DS"", ""Wii"", ""Xbox 360""]","[""Adventure"", ""Platform""]","[""Action"", ""Comedy"", ""Fantasy"", ""Kids""]","[""Ubisoft Montpellier"", ""Ubisoft Entertainment""]",
11719,Rebel Galaxy,https://www.igdb.com/g/91j,7.298250861069119,Main Game,"[""Oct 20, 2015 (Worldwide [WW])"", ""Jan 05, 2016 (North America [NA])"", ""Jan 12, 2016 (Europe [EU])"", ""Jan 15, 2016 (Australia [AU])"", ""Dec 07, 2016 (Japan [JP])"", ""Oct 20, 2015 (Worldwide [WW])"", ""Jan 13, 2016 (North America [NA])"", ""Jan 13, 2016 (Europe [EU])"", ""Jun 22, 2016 (Australia [AU])""]","[""Mac"", ""PC (Microsoft Windows)"", ""PlayStation 4"", ""Xbox One""]","[""Adventure"", ""Indie"", ""Role-playing (RPG)"", ""Simulator"", ""Strategy""]","[""Action"", ""Open world"", ""Sandbox"", ""Science fiction""]","[""BlitWorks"", ""Double Damage Games""]",
12524,Recettear: An Item Shop's Tale,https://www.igdb.com/g/9nw,6.963309573162905,Main Game,"[""Sep 10, 2010 (Worldwide [WW])"", ""Dec 21, 2007 (Japan [JP])""]","[""PC (Microsoft Windows)""]","[""Indie"", ""Role-playing (RPG)"", ""Simulator""]","[""Action"", ""Business"", ""Comedy"", ""Fantasy""]","[""Carpe Fulgur LLC"", ""EasyGameStation""]",
6273,Red Faction,https://www.igdb.com/g/4u9,7.370712956227543,Main Game,"[""Jun 22, 2001 (Europe [EU])"", ""Sep 28, 2001 (Europe [EU])"", ""Nov 28, 2001 (North America [NA])"", ""Apr 24, 2012 (Europe [EU])"", ""Apr 18, 2012 (North America [NA])"", ""Sep 18, 2001 (North America [NA])"", ""May 22, 2001 (North America [NA])"", ""Nov 22, 2016 (Worldwide [WW])"", ""Feb 20, 2002 (Europe [EU])""]","[""Mac"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""PlayStation 4"", ""PlayStation 2""]","[""Adventure"", ""Shooter""]","[""Action"", ""Science fiction""]","[""Volition"", ""THQ"", ""THQ Nordic"", ""Deep Silver"", ""Graphsim Entertainment""]",
846,Red Faction: Guerrilla,https://www.igdb.com/g/ni,7.576296110853616,Main Game,"[""Jun 02, 2009 (North America [NA])"", ""Sep 15, 2009 ()"", ""Jun 05, 2009 (Europe [EU])"", ""Jun 02, 2009 ()"", ""Jun 02, 2009 ()""]","[""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""]","[""Adventure"", ""Shooter""]","[""Action"", ""Open world"", ""Science fiction""]","[""THQ"", ""Reactor Zero"", ""Volition""]",
528,Red Faction: Armageddon,https://www.igdb.com/g/eo,6.938406985060047,Main Game,"[""Jun 06, 2011 (Worldwide [WW])"", ""Jun 07, 2011 (North America [NA])"", ""Jun 09, 2011 (Japan [JP])"", ""Jun 07, 2011 ()"", ""Jun 07, 2011 ()"", ""Jun 10, 2011 (Europe [EU])""]","[""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""]","[""Adventure"", ""Shooter""]","[""Action"", ""Horror"", ""Open world"", ""Science fiction""]","[""THQ"", ""Syfy Games"", ""Volition""]",
4083,Red Faction II,https://www.igdb.com/g/35f,6.664882509560405,Main Game,"[""Nov 15, 2002 (Europe [EU])"", ""Aug 28, 2017 (Europe [EU])"", ""Aug 29, 2017 (North America [NA])"", ""Mar 31, 2003 (North America [NA])"", ""Apr 09, 2003 (North America [NA])"", ""Jun 27, 2003 (Europe [EU])"", ""Aug 28, 2017 (North America [NA])"", ""Aug 29, 2017 (Europe [EU])"", ""Jun 06, 2003 (Europe [EU])"", ""Mar 31, 2003 (North America [NA])"", ""Aug 05, 2009 (Worldwide [WW])"", ""Jun 06, 2003 (Europe [EU])"", ""Oct 15, 2002 (North America [NA])""]","[""Nintendo GameCube"", ""PC (Microsoft Windows)"", ""PlayStation 4"", ""PlayStation 2"", ""Xbox""]","[""Adventure"", ""Shooter""]","[""Action"", ""Science fiction""]","[""THQ"", ""Outrage Games"", ""Cranky Pants Games"", ""Focus Multimedia"", ""Volition""]",
281,Return to Castle Wolfenstein,https://www.igdb.com/g/7t,7.884352365424861,Main Game,"[""May 06, 2003 (North America [NA])"", ""May 27, 2003 (North America [NA])"", ""Mar 16, 2002 (North America [NA])"", ""Dec 25, 2003 (Japan [JP])"", ""Nov 19, 2001 (North America [NA])"", ""Apr 2002 (North America [NA])"", ""Aug 03, 2007 (Worldwide [WW])"", ""Nov 30, 2001 (Europe [EU])"", ""May 15, 2003 (Europe [EU])"", ""Jun 06, 2003 (Europe [EU])""]","[""Mac"", ""PC (Microsoft Windows)"", ""PlayStation 2"", ""Xbox"", ""Linux""]","[""Shooter""]","[""Action"", ""Fantasy"", ""Historical"", ""Horror"", ""Science fiction"", ""Stealth""]","[""Gray Matter Interactive"", ""id Software"", ""Aspyr Media"", ""Activision"", ""Westlake Interactive"", ""Raster Productions"", ""Splash Damage"", ""Microsoft Game Studios"", ""Nerve Software, LLC""]",
328,Sacred,https://www.igdb.com/g/94,7.718196665089073,Main Game,"[""Mar 19, 2004 (Europe [EU])"", ""Mar 24, 2004 (North America [NA])"", ""Sep 03, 2012 (North America [NA])""]","[""PC (Microsoft Windows)"", ""Linux""]","[""Role-playing (RPG)""]","[""Action"", ""Fantasy""]","[""Linux Game Publishing"", ""Red Ant Enterprises"", ""Encore"", ""Ascaron Entertainment"", ""Koch Media""]",
